Rate Code,Category,Item Description,Project Type,Work Type,Unit,Rate Min Ex GST,Recommended Rate Ex GST,Rate Max Ex GST,Adjustment Type,Rate Basis,Included Scope / Notes,Effective Date,Active
PB-CONCRETE-S-ANTI-GRAFFITI-CLEAR-CO-COM-NEW,Concrete Sealers & Floor Coatings,Anti-graffiti clear coating,Commercial,New,m²,48.0,48.0,48.0,Fixed,Base substrate/item rate,Compatible clear anti-graffiti system.,2026-07-17,Yes
PB-CONCRETE-S-ANTI-GRAFFITI-CLEAR-CO-COM-REP,Concrete Sealers & Floor Coatings,Anti-graffiti clear coating,Commercial,Repaint,m²,58.0,58.0,58.0,Fixed,Base substrate/item rate,Compatible clear anti-graffiti system.,2026-07-17,Yes
PB-CONCRETE-S-ANTI-GRAFFITI-CLEAR-CO-DOM-NEW,Concrete Sealers & Floor Coatings,Anti-graffiti clear coating,Domestic,New,m²,42.0,42.0,42.0,Fixed,Base substrate/item rate,Compatible clear anti-graffiti system.,2026-07-17,Yes
PB-CONCRETE-S-ANTI-GRAFFITI-CLEAR-CO-DOM-REP,Concrete Sealers & Floor Coatings,Anti-graffiti clear coating,Domestic,Repaint,m²,52.0,52.0,52.0,Fixed,Base substrate/item rate,Compatible clear anti-graffiti system.,2026-07-17,Yes
PB-CONCRETE-S-EPOXY-COVING-OR-SKIRTI-COM-NEW,Concrete Sealers & Floor Coatings,Epoxy coving or skirting,Commercial,New,lm,75.0,75.0,75.0,Fixed,Base substrate/item rate,Per lineal metre.,2026-07-17,Yes
PB-CONCRETE-S-EPOXY-COVING-OR-SKIRTI-COM-REP,Concrete Sealers & Floor Coatings,Epoxy coving or skirting,Commercial,Repaint,lm,95.0,95.0,95.0,Fixed,Base substrate/item rate,Per lineal metre.,2026-07-17,Yes
PB-CONCRETE-S-EPOXY-COVING-OR-SKIRTI-DOM-NEW,Concrete Sealers & Floor Coatings,Epoxy coving or skirting,Domestic,New,lm,65.0,65.0,65.0,Fixed,Base substrate/item rate,Per lineal metre.,2026-07-17,Yes
PB-CONCRETE-S-EPOXY-COVING-OR-SKIRTI-DOM-REP,Concrete Sealers & Floor Coatings,Epoxy coving or skirting,Domestic,Repaint,lm,85.0,85.0,85.0,Fixed,Base substrate/item rate,Per lineal metre.,2026-07-17,Yes
PB-CONCRETE-S-HEAVY-DUTY-BROADCAST-A-COM-NEW,Concrete Sealers & Floor Coatings,Heavy-duty broadcast aggregate epoxy,Commercial,New,m²,135.0,135.0,135.0,Fixed,Base substrate/item rate,Full broadcast system; final build/specification to be confirmed.,2026-07-17,Yes
PB-CONCRETE-S-HEAVY-DUTY-BROADCAST-A-COM-REP,Concrete Sealers & Floor Coatings,Heavy-duty broadcast aggregate epoxy,Commercial,Repaint,m²,165.0,165.0,165.0,Fixed,Base substrate/item rate,Full broadcast system; final build/specification to be confirmed.,2026-07-17,Yes
PB-CONCRETE-S-HEAVY-DUTY-BROADCAST-A-DOM-NEW,Concrete Sealers & Floor Coatings,Heavy-duty broadcast aggregate epoxy,Domestic,New,m²,120.0,120.0,120.0,Fixed,Base substrate/item rate,Full broadcast system; final build/specification to be confirmed.,2026-07-17,Yes
