section_id,unit,level,group,area,substrate,category,m2,lm,doors,frames,coats,paint_type,paint_litres,labour_hours,value_ex_gst,status,completed_pct,notes
KS-U5-001,Unit 5,GF/L1,Internal,Unit 5 - Internal walls,Plasterboard walls,Walls,474.1,0,0,0,2,Low sheen wall paint,79.02,59.26,5510.03,Not Started,0,"Walls - GF/L1 bedrooms, living, halls. Verify wall take-off from plans."
KS-U5-002,Unit 5,GF/L1,Internal,Unit 5 - Internal ceilings,Plasterboard ceilings,Ceilings,197.54,0,0,0,2,Ceiling flat,32.92,21.95,2693.79,Not Started,0,Ceilings - GF/L1. Includes standard ceiling painting allowance.
KS-U5-003,Unit 5,GF/L1,Internal,Unit 5 - Woodwork and gloss,"Doors, frames, jambs, skirting",Woodwork,0,100,13,28,2,Gloss/enamel,10.3,13.0,2816.24,Not Started,0,"Allow 500ml per door, 100ml per frame/jamb, 1L per 100lm skirting."
KS-U5-004,Unit 5,GF/L1,Internal,Unit 5 - Garage internal,Garage walls/ceiling,Walls/Ceilings,65.0,0,0,0,2,Interior paint,10.83,9.29,857.12,Not Started,0,Garage internal painting allowance.
KS-U5-005,Unit 5,GF/L1,Internal,Unit 5 - Feature/multiple colours,Feature/dark/multiple colours,Features,20.0,0,0,0,2,Feature colour,3.33,5.0,367.34,Not Started,0,Feature/multiple colour change allowance.
KS-U5-006,Unit 5,External,External,Unit 5 - EC1 Lineaboard cladding,Lineaboard cladding,Exterior cladding,51.82,0,0,0,2,Exterior paint,8.64,8.64,1984.85,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U5-007,Unit 5,External,External,Unit 5 - EC2 Textureboard cladding,Textureboard 1200mm cladding,Exterior cladding,43.18,0,0,0,2,Exterior paint,7.2,8.64,1654.04,Not Started,0,Dulux Dieskau Half lower level per finishes schedule.
KS-U5-008,Unit 5,External,External,Unit 5 - EC3 Easylap cladding,Easylap cladding,Exterior cladding,34.54,0,0,0,2,Exterior paint,5.76,5.76,1323.23,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U5-009,Unit 5,External,External,Unit 5 - Rendered block/fencing,Rendered block/fencing,Render,25.91,0,0,0,2,Exterior render paint,4.32,5.18,992.42,Not Started,0,Rendered block and fencing. Verify heights and fence lengths on site.
KS-U5-010,Unit 5,External,External,Unit 5 - Eaves/soffits/downpipes,"Soffits, eaves, downpipes",Soffits/trim,17.27,0,0,0,2,Exterior trim paint,2.88,4.32,661.62,Not Started,0,Soffits half Surfmist; downpipes match exterior colours.
KS-U5-011,Unit 5,External,External,Unit 5 - Garage door,Garage door,Woodwork/metalwork,0,0,1,1,2,Gloss/enamel,0.6,1.5,250.0,Not Started,0,Dover White garage door. Verify door finish/product.
KS-U5-012,Unit 5,GF/L1,Internal,Unit 5 - Stair/handrail package,Stairs/handrails,Woodwork,0,0,0,0,2,Clear/gloss/paint as required,0.0,8.0,1350.0,Not Started,0,Stair and handrail painting package.
KS-U5-013,Unit 5,GF/L1,Internal,Unit 5 - Height/high access allowance,High ceilings/stair voids,Features,0,0,0,0,0,Allowance,0.0,4.0,987.7,Not Started,0,Allowance for higher ceilings/stair voids.
KS-U5-014,Unit 5,Whole job,Completion,Unit 5 - Touch-up/final defects,Final touch-ups,Completion,0,0,0,0,0,Allowance,0.0,3.0,250.0,Not Started,0,Final touch-up and defects allowance.
KS-U5-015,Unit 5,Whole job,Allowance,Unit 5 - Balancing allowance,Project allowance,Allowance,0,0,0,0,0,Allowance,0.0,0.0,2666.84,Not Started,0,Progress model balancing allowance to align with previous total quote basis.
KS-U6-016,Unit 6,GF/L1,Internal,Unit 6 - Internal walls,Plasterboard walls,Walls,474.1,0,0,0,2,Low sheen wall paint,79.02,59.26,5510.03,Not Started,0,"Walls - GF/L1 bedrooms, living, halls. Verify wall take-off from plans."
KS-U6-017,Unit 6,GF/L1,Internal,Unit 6 - Internal ceilings,Plasterboard ceilings,Ceilings,197.54,0,0,0,2,Ceiling flat,32.92,21.95,2693.79,Not Started,0,Ceilings - GF/L1. Includes standard ceiling painting allowance.
KS-U6-018,Unit 6,GF/L1,Internal,Unit 6 - Woodwork and gloss,"Doors, frames, jambs, skirting",Woodwork,0,100,13,28,2,Gloss/enamel,10.3,13.0,2816.24,Not Started,0,"Allow 500ml per door, 100ml per frame/jamb, 1L per 100lm skirting."
KS-U6-019,Unit 6,GF/L1,Internal,Unit 6 - Garage internal,Garage walls/ceiling,Walls/Ceilings,65.0,0,0,0,2,Interior paint,10.83,9.29,857.12,Not Started,0,Garage internal painting allowance.
KS-U6-020,Unit 6,GF/L1,Internal,Unit 6 - Feature/multiple colours,Feature/dark/multiple colours,Features,20.0,0,0,0,2,Feature colour,3.33,5.0,367.34,Not Started,0,Feature/multiple colour change allowance.
KS-U6-021,Unit 6,External,External,Unit 6 - EC1 Lineaboard cladding,Lineaboard cladding,Exterior cladding,51.82,0,0,0,2,Exterior paint,8.64,8.64,1984.85,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U6-022,Unit 6,External,External,Unit 6 - EC2 Textureboard cladding,Textureboard 1200mm cladding,Exterior cladding,43.18,0,0,0,2,Exterior paint,7.2,8.64,1654.04,Not Started,0,Dulux Dieskau Half lower level per finishes schedule.
KS-U6-023,Unit 6,External,External,Unit 6 - EC3 Easylap cladding,Easylap cladding,Exterior cladding,34.54,0,0,0,2,Exterior paint,5.76,5.76,1323.23,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U6-024,Unit 6,External,External,Unit 6 - Rendered block/fencing,Rendered block/fencing,Render,25.91,0,0,0,2,Exterior render paint,4.32,5.18,992.42,Not Started,0,Rendered block and fencing. Verify heights and fence lengths on site.
KS-U6-025,Unit 6,External,External,Unit 6 - Eaves/soffits/downpipes,"Soffits, eaves, downpipes",Soffits/trim,17.27,0,0,0,2,Exterior trim paint,2.88,4.32,661.62,Not Started,0,Soffits half Surfmist; downpipes match exterior colours.
KS-U6-026,Unit 6,External,External,Unit 6 - Garage door,Garage door,Woodwork/metalwork,0,0,1,1,2,Gloss/enamel,0.6,1.5,250.0,Not Started,0,Dover White garage door. Verify door finish/product.
KS-U6-027,Unit 6,GF/L1,Internal,Unit 6 - Stair/handrail package,Stairs/handrails,Woodwork,0,0,0,0,2,Clear/gloss/paint as required,0.0,8.0,1350.0,Not Started,0,Stair and handrail painting package.
KS-U6-028,Unit 6,GF/L1,Internal,Unit 6 - Height/high access allowance,High ceilings/stair voids,Features,0,0,0,0,0,Allowance,0.0,4.0,987.7,Not Started,0,Allowance for higher ceilings/stair voids.
KS-U6-029,Unit 6,Whole job,Completion,Unit 6 - Touch-up/final defects,Final touch-ups,Completion,0,0,0,0,0,Allowance,0.0,3.0,250.0,Not Started,0,Final touch-up and defects allowance.
KS-U6-030,Unit 6,Whole job,Allowance,Unit 6 - Balancing allowance,Project allowance,Allowance,0,0,0,0,0,Allowance,0.0,0.0,2666.84,Not Started,0,Progress model balancing allowance to align with previous total quote basis.
KS-U7-031,Unit 7,GF/L1,Internal,Unit 7 - Internal walls,Plasterboard walls,Walls,474.1,0,0,0,2,Low sheen wall paint,79.02,59.26,5510.03,Not Started,0,"Walls - GF/L1 bedrooms, living, halls. Verify wall take-off from plans."
KS-U7-032,Unit 7,GF/L1,Internal,Unit 7 - Internal ceilings,Plasterboard ceilings,Ceilings,197.54,0,0,0,2,Ceiling flat,32.92,21.95,2693.79,Not Started,0,Ceilings - GF/L1. Includes standard ceiling painting allowance.
KS-U7-033,Unit 7,GF/L1,Internal,Unit 7 - Woodwork and gloss,"Doors, frames, jambs, skirting",Woodwork,0,100,13,28,2,Gloss/enamel,10.3,13.0,2816.24,Not Started,0,"Allow 500ml per door, 100ml per frame/jamb, 1L per 100lm skirting."
KS-U7-034,Unit 7,GF/L1,Internal,Unit 7 - Garage internal,Garage walls/ceiling,Walls/Ceilings,65.0,0,0,0,2,Interior paint,10.83,9.29,857.12,Not Started,0,Garage internal painting allowance.
KS-U7-035,Unit 7,GF/L1,Internal,Unit 7 - Feature/multiple colours,Feature/dark/multiple colours,Features,20.0,0,0,0,2,Feature colour,3.33,5.0,367.34,Not Started,0,Feature/multiple colour change allowance.
KS-U7-036,Unit 7,External,External,Unit 7 - EC1 Lineaboard cladding,Lineaboard cladding,Exterior cladding,51.82,0,0,0,2,Exterior paint,8.64,8.64,1984.85,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U7-037,Unit 7,External,External,Unit 7 - EC2 Textureboard cladding,Textureboard 1200mm cladding,Exterior cladding,43.18,0,0,0,2,Exterior paint,7.2,8.64,1654.04,Not Started,0,Dulux Dieskau Half lower level per finishes schedule.
KS-U7-038,Unit 7,External,External,Unit 7 - EC3 Easylap cladding,Easylap cladding,Exterior cladding,34.54,0,0,0,2,Exterior paint,5.76,5.76,1323.23,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U7-039,Unit 7,External,External,Unit 7 - Rendered block/fencing,Rendered block/fencing,Render,25.91,0,0,0,2,Exterior render paint,4.32,5.18,992.42,Not Started,0,Rendered block and fencing. Verify heights and fence lengths on site.
KS-U7-040,Unit 7,External,External,Unit 7 - Eaves/soffits/downpipes,"Soffits, eaves, downpipes",Soffits/trim,17.27,0,0,0,2,Exterior trim paint,2.88,4.32,661.62,Not Started,0,Soffits half Surfmist; downpipes match exterior colours.
